Tahun;Latitude;Longitude;Faskes;Kecamatan;Kasus
2025;-7.080043039;110.3125563;PKM. MIJEN;Mijen;166
2025;-7.094033286;110.3347737;PKM. KARANG MALANG;Mijen;75
2025;-7.083370488;110.3749703;PKM. GUNUNG PATI;Gunungpati;22
2025;-7.051823094;110.3943721;PKM. SEKARAN;Gunungpati;83
2025;-7.058770177;110.4146735;PKM. SRONDOL;Banyumanik;56
2025;-7.033395586;110.4192109;PKM. NGESREP;Banyumanik;4
2025;-7.05517515;110.4456621;PKM. PADANG SARI;Banyumanik;46
2025;-7.091060118;110.4144414;PKM. PUNDAKPAYUNG;Banyumanik;827
2025;-7.016028694;110.3939721;PKM. PEGANDAN;Gajahmungkur;242
2025;-6.986807194;110.4150143;PKM. PANDANARAN (Sentinel ILI);Semarang Selatan;167
2025;-7.005153966;110.4474524;PKM. LAMPER TENGAH;Semarang Selatan;108
2025;-7.013138477;110.4318278;PKM. CANDILAMA;Candisari;98
2025;-7.008363914;110.4174229;PKM. KAGOK;Candisari;111
2025;-7.025904846;110.4604904;PKM. KEDUNG MUNDU;Tembalang;254
2025;-7.055418944;110.4719974;PKM. ROWOSARI;Tembalang;31
2025;-6.980792217;110.4572769;PKM. TELOGOSARI KULON;Pedurungan;143
2025;-6.996495192;110.4646762;PKM. TELOGOSARI WETAN;Pedurungan;207
2025;-6.953077765;110.4796831;PKM. GENUK;Genuk;311
2025;-6.982894323;110.4766665;PKM. BANGET AYU;Genuk;209
2025;-6.994690734;110.4651668;PKM. GAYAM SARI;Gayamsari;371
2025;-6.994723463;110.4376435;PKM. HALMAHERA;Semarang Timur;81
2025;-6.963707461;110.4360494;PKM. KARANG DORO;Semarang Timur;108
2025;-6.971764061;110.4366975;PKM. BUGANGAN;Semarang Timur;52
2025;-6.964754905;110.4225564;PKM. BANDARHARJO;Semarang Utara;239
2025;-6.975063385;110.4069087;PKM. BULU LOR;Semarang Utara;90
2025;-6.973696112;110.4150687;PKM. PONCOL;Semarang Tengah;46
2025;-6.983786153;110.41901;PKM. MIROTO;Semarang Tengah;194
2025;-6.980293609;110.3926029;PKM. KARANG AYU;Semarang Barat;37
2025;-6.993698667;110.3792284;PKM. LEBDOSARI;Semarang Barat;38
2025;-6.993602826;110.3792499;PKM. MANYARAN;Semarang Barat;153
2025;-6.974866016;110.3944352;PKM. KROBOKAN;Semarang Barat;100
2025;-7.000661216;110.3930746;PKM. NGEMPLAK SIMONGAN;Semarang Barat;70
2025;-6.971924629;110.2978818;PKM. MANGKANG;Tugu;30
2025;-6.971741158;110.3347373;PKM. KARANG ANYAR;Tugu;658
2025;-6.998104892;110.3474731;PKM. NGALIAN;Ngaliyan;122
2025;-6.983312963;110.3508313;PKM. TAMBAK AJI;Ngaliyan;55
2025;-6.988102812;110.3675577;PKM. PURWOYOSO;Ngaliyan;1084
2025;-7.007534375;110.4196091;RS. ST ELISABETH KOTA SEMARANG;Candisari;308
2025;-6.970118791;110.4397932;RS PANTI WILASA CITARUM;Semarang Timur;158
2025;-7.033665421;110.4660786;RSD K.R.M.T WONGSONEGORO SEMARANG;Tembalang;557
2025;-7.000454374;110.4465666;RS BHAYANGKARA SEMARANG;Gayamsari;21
2025;-7.001036465;110.4279333;RS ROEMANI MUHAMMADIYAH;Semarang Selatan;484
2025;-6.972767312;110.4344825;RS PANTI WILASA DR. CIPTO;Semarang Timur;918
2025;-6.996032966;110.4073663;RSIA GUNUNG SAWO;Gajahmungkur;4
2025;-7.072387345;110.4114633;RS HERMINA BANYUMANIK;Banyumanik;182
2025;-6.996724117;110.4051304;RSU WILLIAM BOOTH;Gajahmungkur;450
