Tahun;Provinsi;Kab/Kota;Minggu;Kasus
2025;JAWA TENGAH;KAB. BANJARNEGARA;1;103
2025;JAWA TENGAH;KAB. BANYUMAS;1;280
2025;JAWA TENGAH;KAB. BATANG;1;33
2025;JAWA TENGAH;KAB. BLORA;1;163
2025;JAWA TENGAH;KAB. BOYOLALI;1;162
2025;JAWA TENGAH;KAB. BREBES;1;82
2025;JAWA TENGAH;KAB. CILACAP;1;174
2025;JAWA TENGAH;KAB. DEMAK;1;191
2025;JAWA TENGAH;KAB. GROBOGAN;1;155
2025;JAWA TENGAH;KAB. JEPARA;1;331
2025;JAWA TENGAH;KAB. KARANGANYAR;1;125
2025;JAWA TENGAH;KAB. KEBUMEN;1;120
2025;JAWA TENGAH;KAB. KENDAL;1;131
2025;JAWA TENGAH;KAB. KLATEN;1;139
2025;JAWA TENGAH;KAB. KUDUS;1;202
2025;JAWA TENGAH;KAB. MAGELANG;1;91
2025;JAWA TENGAH;KAB. PATI;1;227
2025;JAWA TENGAH;KAB. PEKALONGAN;1;50
2025;JAWA TENGAH;KAB. PEMALANG;1;25
2025;JAWA TENGAH;KAB. PURBALINGGA;1;93
2025;JAWA TENGAH;KAB. PURWOREJO;1;375
2025;JAWA TENGAH;KAB. REMBANG;1;161
2025;JAWA TENGAH;KAB. SEMARANG;1;49
2025;JAWA TENGAH;KAB. SRAGEN;1;49
2025;JAWA TENGAH;KAB. SUKOHARJO;1;120
2025;JAWA TENGAH;KAB. TEGAL;1;46
2025;JAWA TENGAH;KAB. TEMANGGUNG;1;34
2025;JAWA TENGAH;KAB. WONOGIRI;1;120
2025;JAWA TENGAH;KAB. WONOSOBO;1;63
2025;JAWA TENGAH;KOTA MAGELANG;1;73
2025;JAWA TENGAH;KOTA PEKALONGAN;1;9
2025;JAWA TENGAH;KOTA SALATIGA;1;56
2025;JAWA TENGAH;KOTA SEMARANG;1;408
2025;JAWA TENGAH;KOTA SURAKARTA;1;53
2025;JAWA TENGAH;KOTA TEGAL;1;5
2025;JAWA TENGAH;KAB. BANJARNEGARA;2;83
2025;JAWA TENGAH;KAB. BANYUMAS;2;301
2025;JAWA TENGAH;KAB. BATANG;2;53
2025;JAWA TENGAH;KAB. BLORA;2;211
2025;JAWA TENGAH;KAB. BOYOLALI;2;155
