Latitude;Longitude;Faskes
-7.080043039;110.3125563;PKM. MIJEN
-7.094033286;110.3347737;PKM. KARANG MALANG
-7.083370488;110.3749703;PKM. GUNUNG PATI
-7.051823094;110.3943721;PKM. SEKARAN
-7.058770177;110.4146735;PKM. SRONDOL
-7.033395586;110.4192109;PKM. NGESREP
-7.05517515;110.4456621;PKM. PADANG SARI
-7.091060118;110.4144414;PKM. PUNDAKPAYUNG
-7.016028694;110.3939721;PKM. PEGANDAN
-6.986807194;110.4150143;PKM. PANDANARAN (Sentinel ILI)
-7.005153966;110.4474524;PKM. LAMPER TENGAH
-7.013138477;110.4318278;PKM. CANDILAMA
-7.008363914;110.4174229;PKM. KAGOK
-7.025904846;110.4604904;PKM. KEDUNG MUNDU
-7.055418944;110.4719974;PKM. ROWOSARI
-6.980792217;110.4572769;PKM. TELOGOSARI KULON
-6.996495192;110.4646762;PKM. TELOGOSARI WETAN
-6.953077765;110.4796831;PKM. GENUK
-6.982894323;110.4766665;PKM. BANGET AYU
-6.994690734;110.4651668;PKM. GAYAM SARI
-6.994723463;110.4376435;PKM. HALMAHERA
-6.963707461;110.4360494;PKM. KARANG DORO
-6.971764061;110.4366975;PKM. BUGANGAN
-6.964754905;110.4225564;PKM. BANDARHARJO
-6.975063385;110.4069087;PKM. BULU LOR
-6.973696112;110.4150687;PKM. PONCOL
-6.983786153;110.41901;PKM. MIROTO
-6.980293609;110.3926029;PKM. KARANG AYU
-6.993698667;110.3792284;PKM. LEBDOSARI
-6.993602826;110.3792499;PKM. MANYARAN
-6.974866016;110.3944352;PKM. KROBOKAN
-7.000661216;110.3930746;PKM. NGEMPLAK SIMONGAN
-6.971924629;110.2978818;PKM. MANGKANG
-6.971741158;110.3347373;PKM. KARANG ANYAR
-6.998104892;110.3474731;PKM. NGALIAN
-6.983312963;110.3508313;PKM. TAMBAK AJI
-6.988102812;110.3675577;PKM. PURWOYOSO
-7.007534375;110.4196091;RS. ST ELISABETH KOTA SEMARANG
-6.970118791;110.4397932;RS PANTI WILASA CITARUM
-7.033665421;110.4660786;RSD K.R.M.T WONGSONEGORO SEMARANG
-7.000454374;110.4465666;RS BHAYANGKARA SEMARANG
-7.001036465;110.4279333;RS ROEMANI MUHAMMADIYAH
-6.972767312;110.4344825;RS PANTI WILASA DR. CIPTO
-6.996032966;110.4073663;RSIA GUNUNG SAWO
-7.072387345;110.4114633;RS HERMINA BANYUMANIK
-6.996724117;110.4051304;RSU WILLIAM BOOTH
-6.993881681;110.4098608;RSUP Dr. KARIADI
-6.999965014;110.3424247;RS PERMATA MEDIKA
-6.986777263;110.4079005;Rumkit TK.III Bhakti Wira Tamtama
-7.078364406;110.4117746;RS BANYUMANIK 2
-7.047622288;110.443654;RS NASIONAL DIPONEGORO
-6.984320768;110.3562115;RSUD DR ADHYATMA MPH TUGUREJO
-7.009626214;110.4631284;RS JIWA DAERAH Dr. AMINO GONDOHUTOMO
-6.998793978;110.4342318;RSIA SILOAM SEMARANG
-6.992224266;110.4051002;RSIA ANUGERAH
-6.985781556;110.4130101;RS HERMINA PANDANARAN
-6.987389117;110.426811;RS TELOGOREJO SEMARANG
-6.975759163;110.4364645;RSIA KUSUMA PRADJA
-6.994314518;110.4331334;RSIA BUNDA
-7.063643084;110.4167926;RS BANYUMANIK
-7.034115095;110.3286261;RSIA ANANDA PASAR ACE
-6.984029212;110.3833352;RSKB COLUMBIA ASIA SEMARANG
-6.955617002;110.4616543;RSI SULTAN AGUNG SEMARANG
-6.967208357;110.391892;RS KELUARGA SEHAT III KOTA SEMARANG
-7.022413218;110.489449;PKM. PLAMONGANSARI
-7.05954278;110.4479415;PKM. BULUSAN
-6.97742551;110.3872126;RS SAMSOE HIDAJAT
-7.055583658;110.3145127;RSUD MIJEN
-7.023328388;110.461669;RS PRIMAYA KOTA SEMARANG
-7.023417892;110.4979438;RSIA PLAMONGAN INDAH
-7.066493017;110.3588153;RS CEPOKO
-7.019404886;110.4190708;RS BHAYANGKARA TK III AKPOL
-7.02205;110.4587;RS UNIMUS
