Tahun;PROVINSI;Minggu;Kasus
2025;ACEH;1;67
2025;ACEH;2;136
2025;ACEH;3;143
2025;ACEH;4;106
2025;ACEH;5;104
2025;ACEH;6;88
2025;ACEH;7;61
2025;ACEH;8;78
2025;ACEH;9;78
2025;ACEH;10;62
2025;ACEH;11;55
2025;ACEH;12;50
2025;ACEH;13;25
2025;ACEH;14;23
2025;ACEH;15;34
2025;ACEH;16;45
2025;ACEH;17;49
2025;ACEH;18;42
2025;ACEH;19;33
2025;ACEH;20;35
2025;ACEH;21;46
2025;ACEH;22;44
2025;ACEH;23;37
2025;ACEH;24;46
2025;ACEH;25;29
2025;ACEH;26;40
2025;ACEH;27;53
2025;ACEH;28;40
2025;ACEH;29;52
2025;ACEH;30;54
2025;ACEH;31;56
2025;ACEH;32;41
2025;ACEH;33;41
2025;ACEH;34;67
2025;ACEH;35;34
2025;ACEH;36;30
2025;ACEH;37;41
2025;ACEH;38;43
2025;ACEH;39;58
2025;ACEH;40;36
2025;ACEH;41;45
2025;ACEH;42;47
2025;ACEH;43;53
2025;ACEH;44;58
2025;ACEH;45;57
2025;ACEH;46;40
2025;ACEH;47;44
2025;ACEH;48;31
2025;ACEH;49;28
2025;ACEH;50;32
2025;ACEH;51;32
2025;ACEH;52;36
2025;ACEH;53;42
2025;BALI;1;747
2025;BALI;2;932
2025;BALI;3;1129
2025;BALI;4;1162
2025;BALI;5;1127
2025;BALI;6;1415
2025;BALI;7;1439
2025;BALI;8;1459
2025;BALI;9;1449
2025;BALI;10;1414
2025;BALI;11;1464
2025;BALI;12;1308
2025;BALI;13;957
2025;BALI;14;970
2025;BALI;15;1039
2025;BALI;16;987
2025;BALI;17;890
2025;BALI;18;859
2025;BALI;19;924
2025;BALI;20;818
2025;BALI;21;893
2025;BALI;22;711
2025;BALI;23;742
2025;BALI;24;785
2025;BALI;25;739
2025;BALI;26;733
2025;BALI;27;602
2025;BALI;28;594
2025;BALI;29;547
2025;BALI;30;511
2025;BALI;31;466
2025;BALI;32;483
2025;BALI;33;488
2025;BALI;34;405
2025;BALI;35;481
2025;BALI;36;405
2025;BALI;37;394
2025;BALI;38;396
2025;BALI;39;446
2025;BALI;40;410
2025;BALI;41;359
2025;BALI;42;386
2025;BALI;43;363
2025;BALI;44;356
2025;BALI;45;305
2025;BALI;46;326
2025;BALI;47;293
2025;BALI;48;278
2025;BALI;49;309
2025;BALI;50;316
2025;BALI;51;316
2025;BALI;52;325
2025;BALI;53;326
2025;BANGKA BELITUNG;1;110
2025;BANGKA BELITUNG;2;158
2025;BANGKA BELITUNG;3;125
2025;BANGKA BELITUNG;4;142
2025;BANGKA BELITUNG;5;111
2025;BANGKA BELITUNG;6;143
2025;BANGKA BELITUNG;7;124
2025;BANGKA BELITUNG;8;113
2025;BANGKA BELITUNG;9;114
2025;BANGKA BELITUNG;10;118
2025;BANGKA BELITUNG;11;100
2025;BANGKA BELITUNG;12;81
2025;BANGKA BELITUNG;13;58
2025;BANGKA BELITUNG;14;51
2025;BANGKA BELITUNG;15;77
2025;BANGKA BELITUNG;16;79
2025;BANGKA BELITUNG;17;117
2025;BANGKA BELITUNG;18;73
2025;BANGKA BELITUNG;19;101
2025;BANGKA BELITUNG;20;104
2025;BANGKA BELITUNG;21;89
2025;BANGKA BELITUNG;22;75
2025;BANGKA BELITUNG;23;74
2025;BANGKA BELITUNG;24;92
2025;BANGKA BELITUNG;25;82
2025;BANGKA BELITUNG;26;73
2025;BANGKA BELITUNG;27;111
2025;BANGKA BELITUNG;28;126
2025;BANGKA BELITUNG;29;108
2025;BANGKA BELITUNG;30;147
2025;BANGKA BELITUNG;31;115
2025;BANGKA BELITUNG;32;127
2025;BANGKA BELITUNG;33;115
2025;BANGKA BELITUNG;34;78
2025;BANGKA BELITUNG;35;78
2025;BANGKA BELITUNG;36;80
2025;BANGKA BELITUNG;37;67
2025;BANGKA BELITUNG;38;71
2025;BANGKA BELITUNG;39;73
2025;BANGKA BELITUNG;40;70
2025;BANGKA BELITUNG;41;77
2025;BANGKA BELITUNG;42;90
2025;BANGKA BELITUNG;43;91
2025;BANGKA BELITUNG;44;112
2025;BANGKA BELITUNG;45;93
2025;BANGKA BELITUNG;46;83
2025;BANGKA BELITUNG;47;80
2025;BANGKA BELITUNG;48;76
2025;BANGKA BELITUNG;49;99
2025;BANGKA BELITUNG;50;95
2025;BANGKA BELITUNG;51;69
2025;BANGKA BELITUNG;52;71
2025;BANGKA BELITUNG;53;73
2025;BANTEN;1;709
